City,ID,Sampler_Name,fid,landcover_ unknown,landcover_ shrubland,landcover_ herbaceous_vegetation,landcover_ cropland,landcover_ built-up,landcover_ bare_sparse_vegetation,landcover_ permanent_inland_water,landcover_ herbaceous_wetland,landcover_ ENF_closed,landcover_ EBF_closed,landcover_ DBF_closed,landcover_ mixed _closed,landcover_ unknown_closed,landcover_ ENF_open,landcover_ EBF_open,landcover_ DBF_open,landcover_ mixed _open,landcover_ unknown_open,landcover_ sea,Landcover_SumPixels,Landcoverpct_unknown,Landcoverpct_shrubland,Landcoverpct_herbaceous_vegetation,Landcoverpct_cropland,Landcoverpct_built_up,Landcoverpct_bare_sparse_vegetation,Landcoverpct_permanent_inland_water,Landcoverpct_herbaceous_wetland,Landcoverpct_ENF_closed,Landcoverpct_EBF_closed,Landcoverpct_DBF_closed,Landcoverpct_mixed _closed,Landcoverpct_unknown_closed,Landcoverpct_ENF_open,Landcoverpct_EBF_open,Landcoverpct_DBF_open,Landcoverpct_mixed _open,Landcoverpct_unknown_open,Landcoverpct_sea,Landcover_veg_total,GLOFAS_River_flow 2018 Qav (m³/s),wav (m),dav (m),L,River Area (m²),River Notes,2016pm25_mean,TSP_derived,WorldPop_2018_sum,HDI_2015,GDPtotalPPP_2015_sum,GDPperCapitaPPP_2015_mean,National_ManufacturingpctGDP_2018,GDP_Mfg_percapita,GDP_Mfg_sum,TavC_mean,Precip_mmhr_mean,PBL_height_m_mean,RH_mean,windspeed_ms_mean,wind_dir_rad_mean,LAI_mean,Qav_sum,Qav_mean,Tot_CO2,CO2_Energy_pct,CO2_Residential_pct,CO2_Industry_pct,CO2_Transport_pct,CO2_Agriculture_pct,Tot_PM25Emiss,PM25Emiss_Energy_pct,PM25Emiss_Residential_pct,PM25Emiss_Industry_pct,PM25Emiss_Transport_pct,PM25Emiss_Agriculture_pct,E_CPM2_T14,EDGAR_TOTCO2_kgm2s,EDGAR_CO2_Aviation_pct,EDGAR_CO2_Agriculture_pct,EDGAR_CO2_Chemical_processes_pct,EDGAR_CO2_Power_industry_pct,EDGAR_CO2_Combustion_for_manufacturing_pct,EDGAR_CO2_Iron_and_steel_production_pct,EDGAR_CO2_Non_energy_use_of_fuels_pct,EDGAR_CO2_Non-ferrous_metals_production_pct,EDGAR_CO2_Non-metallic_minerals_production_pct,EDGAR_CO2_Fuel_Exploitation_pct,EDGAR_CO2_Solvents_and_products_use_pct,EDGAR_CO2_Energy_for_buildings_pct,EDGAR_CO2_Oil_refineries_and_Transformation_industry_pct,EDGAR_CO2_Solid_waste_incineration_pct,EDGAR_CO2_Railways_pipelines_offroad_pct,EDGAR_CO2_Shipping_pct,EDGAR_CO2_Road_transportation_pct
Toronto,MC-WE01,"Toronto, Canada",1,0,31,1078,383,38519,0,456,64,108,0,1205,10,2220,9,0,9,0,3503,32167,79762,0,0.000388656,0.013515208,0.004801785,0.482924199,0,0.005717008,0.000802387,0.001354028,0,0.015107445,0.000125373,0.027832803,0.000112836,0,0.000112836,0,0.043918157,0.40328728,0.108071513,12.15848214,31.94621669,0.850123065,97159.62583,0,"Small streams, took best pixel",7.972888019,26.5762934,2007745.394,0.871887922,86306214912,34639.73438,9.866071588,3417.580991,8515032948,11.4212807,0.122727947,439.8533954,73.05599141,0.604471243,-0.410729883,2.204924905,85.109375,12.15848214,54513838.82,0.056672534,0.266712929,0.572470234,0.104132387,1.19E-05,11792.32878,0.01837768,0.043418853,0.904308257,0.031269331,0.002625879,9.7813,7.60E-06,0.012228404,0,0.025705306,0.036871192,0.142134747,0,0.001363251,0,0.015789051,5.58273E-08,0.00885408,0.291552849,0.395890255,0.000488876,0.004822002,0.000578793,0.063721457
New York,MC-WE02,"New York, USA",2,0,52,2493,590,51044,179,4344,2947,1,0,316,0,383,0,0,4,0,6300,9341,77994,0,0.000666718,0.031963997,0.007564684,0.6544606,0.002295048,0.055696592,0.037784958,1.28E-05,0,0.004051594,0,0.004910634,0,0,5.13E-05,0,0.080775444,0.119765623,0.167782137,196.1191406,84.5584423,1.693310252,94594.5493,0,Largest accumulation pixel in boundary,10.37154362,34.57181206,6281038.989,0.954449534,4.96E+11,46078.55682,11.19770354,5159.740187,55549769863,18.04994547,0.128542969,589.6988707,73.65067999,0.462043883,-0.444194623,5.165220681,1568.953125,196.1191406,103353924.5,0.257344956,0.291331687,0.306395172,0.14489355,3.46E-05,15844.19985,0.037668712,0.077721806,0.802785762,0.081771159,5.26E-05,10.5604,1.47E-05,0.020777019,0,0.023454789,0.341535339,0.15937447,0,0.002688214,0.000432044,0.01327381,5.69836E-08,0.028796704,0.292885734,0.057321126,0,0.001379645,0.008761155,0.049251355
Sydney,MC-WE03,"Sydney, Australia",3,0,1,1356,60,46428,4,3723,73,0,13121,4,0,24,0,1201,60,107,1149,7755,75066,0,1.33E-05,0.018064104,0.000799297,0.618495724,5.33E-05,0.049596355,0.000972478,0,0.174792849,5.33E-05,0,0.000319719,0,0.015999254,0.000799297,0.001425412,0.01530653,0.103309088,0.228545547,1.853125,15.29689785,0.484334393,77742.66092,0,Summed two pixels that accumulated flow.  Tough to choose correctly,3.890014073,12.96671358,1670554.943,0.926261127,77999934848,30000.58008,5.777271825,1733.21506,4506268259,16.17073018,0.054159383,594.9217529,70.08956955,1.277077936,-0.084422171,3.523045711,9.265625,1.853125,17612777.55,0.053770394,0.165012095,0.556981176,0.224235785,5.50E-07,4940.806333,0.002569384,0.05426024,0.827851936,0.114303923,0.001014517,6.29054,1.80E-06,0.016296024,0,0.040536998,0.015559587,0.30257799,0,0.003111868,0.000464147,0.022418887,3.88569E-08,0.023030573,0.188836241,0.159363193,7.63529E-05,0.005904377,0.020461272,0.201362941
Istanbul,MC-WE04,"Istanbul, Turkey",4,0,191,2029,314,35954,151,1874,67,3460,0,998,459,2519,132,0,0,0,968,29051,78167,0,0.002443486,0.025957245,0.00401704,0.459963923,0.001931761,0.023974311,0.000857139,0.044264204,0,0.012767536,0.005872043,0.032225875,0.001688692,0,0,0,0.012383743,0.371652999,0.142477004,2.161458333,7.220566923,0.268076789,74672.90254,0,Downstream pixel of Rio Mapocho in boundary. Appeared to accumulate entire area,12.44889708,41.49632359,8227815.07,0.891991317,2.03E+11,18247.46094,19.04337774,3474.932914,38685134406,18.58840679,0.068697846,381.6665457,78.67997988,2.54556154,0.719060139,5.486030274,12.96875,2.161458333,31417834.62,0.164230802,0.335404129,0.33938718,0.160966025,1.19E-05,22892.73405,0.013956807,0.683524777,0.242072399,0.053563129,0.006882888,19.6619,5.83E-06,0.053448753,5.15631E-05,0.009816414,0.003416438,0.256732813,0,0.000465662,0,0.130562548,2.05848E-08,0.002790561,0.360289881,0,3.18505E-06,0.002367788,0.014476818,0.1656165
London,MC-WE05,"London, UK",5,0,0,2643,1874,71109,5,1293,370,51,0,98,60,595,161,0,49,1088,6726,0,86122,0,0,0.030689023,0.021759829,0.825677527,5.81E-05,0.015013585,0.004296231,0.000592183,0,0.001137921,0.000696686,0.006908804,0.001869441,0,0.00056896,0.012633241,0.078098511,0,0.15925083,54.18080357,53.94477567,1.263155862,168251.3636,0,"Sum of Yongding and Bei Yunhe at city boundary. Both rivers skirt city, larger flow for Bei Yunhe just outside of boundary (not included)",13.84575473,46.15251577,5563774.358,0.871850431,3.19E+11,32470.98242,8.846981668,2872.701862,28254112199,5.916985997,0.060371829,535.1429138,86.7876025,1.9616291,0.922128032,4.091376983,379.265625,54.18080357,43605366.99,0.044490615,0.411905937,0.266298672,0.277300984,3.79E-06,5982.32174,0.012130814,0.245211404,0.59307013,0.149130636,0.000457016,13.4527,5.00E-06,0.028098102,0,0.027757053,0.011352564,0.163920157,0,0.001664189,0.000346428,0.021749105,4.39426E-08,0.032568487,0.483465717,0.071974029,0,0.001793166,0.000387358,0.154905743
Madrid,MC-WE06,"Madrid, Spain",6,0,7694,5091,13256,38460,0,140,10,79,0,7,0,1442,183,0,2,0,11495,0,77859,0,0.098819661,0.065387431,0.170256489,0.493969869,0,0.001798122,0.000128437,0.001014655,0,8.99E-05,0,0.018520659,0.002350403,0,2.57E-05,0,0.14763868,0,0.504232009,4.0546875,26.00257535,0.726550466,133932.5833,0,"Yamuna accumulation pixel outside of boundary. Alternate value would include another river, 483.546875",9.811082145,32.70360715,4319261.974,1,1.53E+11,29593.99414,11.03469827,3265.607958,16871713394,17.58722672,0.060096185,837.2096451,55.9689771,0.283393338,0.42086841,3.512235799,32.4375,4.0546875,8099604.823,0.005432901,0.30059775,0.357659543,0.336236534,7.33E-05,1728.241283,0.001909788,0.390493121,0.42542045,0.179393831,0.00278281,12.0058,2.83E-06,0.125871818,0.000106434,0.031697531,0.004662957,0.191188988,0,0.003415381,0.000783458,0.067316415,4.90591E-06,0.044862094,0.28717057,0.005437641,0,0.001875487,0,0.235653181
São Paulo,MC-GR01,"SÃ£o Paulo, Brazil",7,0,5,2013,138,63304,11,2352,1009,0,1367,38,0,263,0,59,0,0,2274,0,72833,0,6.87E-05,0.02763857,0.001894746,0.869166449,0.00015103,0.032293054,0.01385361,0,0.018768965,0.000521742,0,0.003611001,0,0.000810072,0,0,0.031222111,0,0.098389466,25.6875,46.74991223,1.144245756,110561.6073,0,Hoogly,15.79957987,52.66526623,9128024.212,0.667241335,2.67E+11,16406.47656,10.52845738,1727.348892,28120855165,17.36687286,0.069477513,384.4581567,81.18776826,0.372281942,-0.986305267,5.35206529,205.5,25.6875,24701819.33,0.062526255,0.1175227,0.535063848,0.284811223,7.60E-05,66618.71445,0.009766276,0.048604957,0.906963977,0.034622587,4.22E-05,17.25605,1.87E-06,0.014456625,0,0.035094296,0.09801707,0.267649945,0,0.004922538,0.000418785,0.072590611,9.50117E-08,0.019048129,0.121678259,0.069702657,0.002059189,0.005784827,0,0.288511118
Bogota,MC-GR02,"Bogota, Colombia",8,4,1065,22736,6293,28200,8,186,293,0,4580,0,0,4144,0,466,0,0,3190,0,71165,5.62E-05,0.014965222,0.319482892,0.0884283,0.396262208,0.000112415,0.002613644,0.004117192,0,0.064357479,0,0,0.058230872,0,0.006548163,0,0,0.044825406,0,0.600955526,4.080078125,72.72948405,1.567640209,143483.3796,0,"Arakama, one pixel up from mouth. For larger radius use 114.625+55.171875. City is somewhat split by pixels",12.11876789,40.39589298,9486946.585,0.935972095,1.51E+11,10672.06953,11.15185297,1190.133503,16846392282,13.71212176,0.261890157,486.147878,81.06013109,0.75277939,-1.105872926,7.332804753,32.640625,4.080078125,3857332.295,0.00042627,0.179340416,0.383987838,0.43621838,2.71E-05,2910.700836,3.77E-06,0.17209983,0.656901929,0.152368022,0.018626444,14.05625,1.79E-06,0.041929921,0.003786865,0.002801133,0.001012568,0.247752901,0,0,0.000564879,0.056387052,6.04937E-08,0.012184689,0.257670986,0.029676642,0.000440366,0,0,0.349553828
Mexico City,MC-GR03,"Mexico city, Mexico",9,0,1747,127,11682,30414,13,56,159,8828,0,0,690,1365,1556,0,0,2,15628,0,72267,0,0.024174243,0.001757372,0.161650546,0.420855992,0.000179888,0.000774904,0.002200174,0.122158108,0,0,0.009547926,0.018888289,0.021531266,0,0,2.77E-05,0.216253615,0,0.578189215,14.46289063,42.51006748,1.056702424,163922.8441,0,"Ogun river just upstream of city. Pixel in city includes Lagos Lagoon, 1045.125",19.84873596,66.1624532,4339132.975,0.52700001,1.69E+11,28004.13619,17.54336451,4912.86769,29572697938,15.14456431,0.26141814,654.4362793,68.98437311,0.190374136,-0.944228378,4.821648055,115.703125,14.46289063,32450717.57,0.24016716,0.112153397,0.430509316,0.21599237,0.001177757,7337.238148,0.013170531,0.085484981,0.810166153,0.07251271,0.018665625,23.4041,1.82E-06,0.002230985,0.007953585,0.016647815,0.002526267,0.329283433,0.007268124,0.000540534,0.001138307,0.05199741,3.25154E-08,0.020549826,0.145223294,0.123002875,0.003376226,0.000569337,0,0.288445702
Santiago,MC-GR04,"Santiago, Chile",10,2,13239,4701,7098,48805,426,5,19,0,0,0,0,45,0,0,0,0,603,0,74943,2.67E-05,0.176654257,0.062727673,0.094711981,0.651228267,0.00568432,6.67E-05,0.000253526,0,0,0,0,0.000600456,0,0,0,0,0.008046115,0,0.342994009,5.586805556,38.97624601,0.984891449,192922.537,0,Wista dowstream of city. Clean drainage,26.20757781,87.35859269,5148336.518,0.886869013,1.15E+11,11241.46777,10.54097396,1184.96019,12157102374,11.96206318,0.056243935,162.4401125,58.92145415,0.401131279,0.845599008,3.687798552,50.28125,5.586805556,8419483.294,0.068000082,0.254299858,0.428166719,0.249530641,2.70E-06,13229.17187,0.098279569,0.05235979,0.80096162,0.047678453,0.000720569,28.2955,2.30E-06,0.03047847,4.28915E-05,0.018010101,0.182511608,0.248427288,0,0,5.44483E-05,0.03644916,7.22911E-08,0.005828017,0.253044429,0.000927527,2.12796E-06,0.000514169,0,0.223750963
